ExceptionMessage,Queue,Process,ExceptionType,
Invite not found in both CBS mailbox,Queue-12,Process-9,Business Exception,
Interviewer xxxx mail ID not found in invite. ,Queue-12,Process-9,Business Exception,
Invite not found in both TAX and PAS mailbox,Queue-12,Process-9,Business Exception,
"InternalFailed to evaluate expression 'Replace([MailBody],""$Item$"",[Mail_Data.ID]) - The collection has no c",Queue-14,Process-11,System Exception,
Could not execute code stage because exception thrown by code stage: The given key was not present in the dictionary.,Queue-16,Process-13,System Exception,
Email Id not found Failed to read Email,Queue-17,Process-8,Business Exception,
Automatically set exception at CleanUp,Queue-1,Process-1,System Exception,
Automatically set exception on session end,Queue-19,Process-15,System Exception,
Recruiter xxxx mail ID not found in invite. ,Queue-12,Process-9,Business Exception,
Invite not found in Assurance Mailbox,Queue-12,Process-9,Business Exception,
Exception occured while accessing article page. This article is unable to be processed.,Queue-22,Process-16,Business Exception,
System Exception:Unable to Launch Service Now site after three retries,Queue-23,Process-17,System Exception,
Missing mandatory fields,Queue-17,Process-8,Business Exception,
Invite not found in Consulting Mailbox,Queue-12,Process-9,Business Exception,
Internal:No data found for new work queue items,Queue-4,Process-3,System Exception,
Internal:Failed to evaluate expression '[Filtered output.P2] - The collection has no current row,Queue-23,Process-17,System Exception,
On Page:Populated Filterd Data Into QueueFile Not Contain any valid APAC Country data:,Queue-37,Process-28,Business Exception,
Mandatory field missing - PO not created by parent,Queue-9,Process-7,Business Exception,
2036 - SA - NO Entries to be Processed,Queue-41,Process-31,Business Exception,
Mandatory field missing - PO not created by parent To be proecssed manually,Queue-10,Process-7,Business Exception,
Unexpected Error occured in adding requests in a request form to queue,Queue-45,Process-21,System Exception,
Failed to perform step 1 in Read Stage 'Read product model' on page 'Purchase Order Line Items' - The object invoked has disconnected from its clients. (Exception from HRESULT: 0x80010108 (RPC_E_DISCONNECTED)),Queue-9,Process-7,System Exception,
"Email does not contains the right Subject, subject does not start with **",Queue-52,Process-36,Business Exception,
BBC Update failed for BBC ID- 209- The remote server returned an error: (504) Gateway Timeout.,Queue-5,Process-2,System Exception,
BBC Update failed for BBC ID- 421- The remote server returned an error: (504) Gateway Timeout.,Queue-5,Process-2,System Exception,
2034 - TFD - NO Entries to be Processed,Queue-41,Process-31,Business Exception,
"Failed to perform step 1 in Navigate Stage 'Invoke JS RAM Visible?' on page 'Place Order' - Failed while invoking javascript method:Exception from HRESULT: 0x80020101->   at mshtml.HTMLWindow2Class.IHTMLWindow2_execScript(String code, String language)    at BluePrism.ApplicationManager.HTML.clsHTMLDocument.InvokeJavascriptMethod(String methodname, String jsonargs, Object& retval, String& sErr) To be proecssed manually",Queue-10,Process-7,System Exception,
"Email template not found, Bot failed to send the output file",Queue-58,Process-40,Business Exception,
Failed to perform step 1 in Write Stage 'Write to EY House Bank' on page 'W- Coding Block' - Exception has been thrown by the target of an invocation.,Queue-30,Process-23,System Exception,
"Failed to perform step 1 in Navigate Stage 'Navigate1' on page 'N-Search Req' - Failed while invoking javascript method:Exception from HRESULT: 0x80020101->   at mshtml.HTMLWindow2Class.IHTMLWindow2_execScript(String code, String language)    at BluePrism.ApplicationManager.HTML.clsHTMLDocument.InvokeJavascriptMethod(String methodname, String jsonargs, Object& retval, String& sErr) - Failed to update data to BBC",Queue-25,Process-19,System Exception,
Unable to launch Taleo application,Queue-25,Process-19,System Exception,
Error in Input File,Queue-31,Process-6,Business Exception,
Internal:Failed to perform step 1 in Write Stage 'Clear short desc' on page 'W-ProblemTicket-Tabs' - Access is denied. (Exception from HRESULT: 0x80070005 (E_ACCESSDENIED)),Queue-23,Process-17,System Exception,
Could not execute code stage because exception thrown by code stage: Call was rejected by callee. (Exception from HRESULT: 0x80010001 (RPC_E_CALL_REJECTED)),Queue-19,Process-15,System Exception,
Exception occured at ES_ITS_TDR_SCCM : Failed to perform step 1 in Navigate Stage 'Launch' on page 'Launch' - Application already launched,Queue-62,Process-43,System Exception,
The Main Collection does not contain 'NodeLevel',Queue-38,Process-29,Business Exception,
Could not execute code stage because exception thrown by code stage: Exception from HRESULT: 0x800A9C68,Queue-18,Process-14,System Exception,
System Exception :Unable to Launch the RAM Site: Unable to update the Opportunity ID,Queue-29,Process-22,System Exception,
Failed to fetch data from RACE tool due to site issue - Exception while finding new RACE form - Exception while finding new RACE form - RACE : Failure to find Textbox value,Queue-19,Process-15,System Exception,
Failed to fetch data from RACE tool due to site issue - Exception while finding new RACE form - RACE : Failure to find Textbox value,Queue-19,Process-15,System Exception,
Failed to fetch data from RACE tool due to site issue - Failed to perform step 1 in Navigate Stage 'Click Search and filter' on page 'Click-Home' - Error creating window handle.,Queue-19,Process-15,System Exception,
Could not execute code stage because exception thrown by code stage: Out of memory.,Queue-52,Process-36,System Exception,
Internal_Could not execute code stage because exception thrown by code stage: The control could not be found by id.,Queue-64,Process-1,System Exception,
Failed to perform step 1 in Read Stage 'Read product model' on page 'Purchase Order Line Items' - No elements match the supplied query terms,Queue-9,Process-7,System Exception,
BBC Update failed for BBC ID- 330- The remote server returned an error: (504) Gateway Timeout.,Queue-5,Process-2,System Exception,
Failed to perform step 1 in Navigate Stage 'Click On the Number' on page 'Click On Task SLA' - Cannot find region identified as an image.,Queue-63,Process-44,System Exception,
Error in populating result in output template - Unexpected error occured in running output  macro,Queue-28,Process-21,System Exception,